Date,Platform,Content Type,Topic,Keyword,CTA,Status,Notes
2026-03-15,Twitter,Thread,AI Trends,#AI,#FutureTech,Draft,Highlight 3 trends
2026-03-16,LinkedIn,Article,Productivity Tips,#Productivity,#WorkSmart,Scheduled,Include personal story
2026-03-17,Instagram,Carousel,Content Creation,#ContentMarketing,#Creators,Planning,5 steps infographic
2026-03-18,YouTube,Short,Tutorial,#Tutorial,#HowTo,Idea,60-second explainer
2026-03-19,Blog,Guide,SEO Basics,#SEO,#Beginners,Draft,1500 words
2026-03-20,Newsletter,Roundup,Weekly Insights,#IndustryNews,#Update,Scheduled,Curate 5 articles
2026-03-21,Twitter,Poll,Audience Engagement,#Poll,#Community,Published,Ask preference
2026-03-22,LinkedIn,Case Study,Success Story,#CaseStudy,#Results,Planning,Client testimonial
2026-03-23,Instagram,Reels,Behind Scenes,#BTS,#CreatorLife,Idea,Day in the life
2026-03-24,Email,Promotion,Product Launch,#Launch,#NewProduct,Scheduled,Limited offer
