Content ID,Title,Platform,Publish Date,Impressions,Engagements,Engagement Rate,Link Clicks,Conversions,ROI,Notes
C001,AI Trends Thread,Twitter,2026-03-15,12500,890,7.12%,45,3,150%,Good discussion
C002,Productivity Tips Article,LinkedIn,2026-03-16,8400,620,7.38%,120,8,240%,High conversion
C003,Content Creation Carousel,Instagram,2026-03-17,15600,1100,7.05%,65,2,80%,Visual perform well
C004,Tutorial Short,YouTube,2026-03-18,25300,1850,7.31%,320,12,300%,Viral potential
C005,SEO Basics Guide,Blog,2026-03-19,8900,450,5.06%,210,15,420%,Evergreen content
C006,Weekly Insights Newsletter,Email,2026-03-20,4500,380,8.44%,89,5,180%,Good open rate
C007,Audience Engagement Poll,Twitter,2026-03-21,9800,720,7.35%,12,0,0%,Engagement only
C008,Success Story Case Study,LinkedIn,2026-03-22,11200,830,7.41%,145,9,270%,Social proof works
C009,Behind Scenes Reels,Instagram,2026-03-23,18700,1350,7.22%,78,3,120%,Authentic content
C010,Product Launch Email,Email,2026-03-24,5200,410,7.88%,210,18,450%,Launch success
